performer_id,degree
A_114733,242
A_31615,242
A_382640,242
A_40831,242
A_77093,242
A_113548,242
A_56250,242
A_40262,242
A_113118,242
A_52660,242
A_36498,241
A_37392,241
A_68142,241
A_37166,241
A_83007,241
A_94251,241
A_114617,241
A_66875,241
A_114078,241
A_64683,241
A_94521,241
A_68240,241
A_95682,241
A_43707,241
A_81271,241
A_397556,241
A_44205,241
A_114533,241
A_116009,241
A_79657,241
A_67143,241
A_67625,241
A_33932,240
A_474532,240
A_55004,240
A_440613,240
A_68655,240
A_63327,240
A_59501,240
A_34756,240
A_54993,239
A_46651,239
A_32252,239
A_398184,239
A_45724,239
A_62441,239
A_101867,239
A_77907,239
A_421501,239
A_62384,239
A_64737,239
A_52574,239
A_94904,238
A_55712,238
A_48608,238
A_102473,238
A_118204,238
A_49362,238
A_66807,238
A_57389,238
A_100355,238
A_113597,238
A_93125,238
A_76761,238
A_59110,238
A_66874,238
A_54945,237
A_56511,237
A_79518,237
A_89701,237
A_14956,237
A_113596,237
A_47860,237
A_36646,237
A_65117,237
A_33544,237
A_68879,237
A_38426,237
A_41974,237
A_73707,236
A_31324,236
A_7476,236
A_68530,236
A_54622,236
A_409422,236
A_37484,236
A_79517,236
A_61114,236
A_33465,236
A_68863,236
A_44682,236
A_31095,236
A_102126,236
A_67378,236
A_30246,236
A_48331,236
A_62330,236
A_65751,236
A_43154,236
A_68456,236
A_450233,236
A_39570,236
A_102567,236
A_50423,235
A_37987,235
A_415921,235
A_36884,235
A_96720,235
A_34539,235
A_95594,235
A_115375,235
A_46780,235
A_64758,235
A_55937,235
A_81383,235
A_71374,235
A_90134,235
A_113196,235
A_97516,235
A_29909,234
A_29915,234
A_421451,234
A_112074,234
A_460697,234
A_42597,234
A_45716,234
A_56936,234
A_57078,234
A_411509,234
A_114184,234
A_67331,233
A_59425,233
A_45638,233
A_68763,233
A_81112,233
A_68548,233
A_93675,233
A_34372,233
A_95131,233
A_60428,233
A_41112,233
A_393871,233
A_114464,233
A_113302,233
A_62481,233
A_54970,233
A_68092,233
A_71234,233
A_89404,233
A_60118,232
A_57084,232
A_32622,232
A_65665,232
A_45273,232
A_114118,232
A_61809,232
A_44229,232
A_55785,232
A_111741,232
A_68268,232
A_118841,232
A_57132,232
A_113864,232
A_88883,232
A_115783,231
A_43703,231
A_36425,231
A_59039,231
A_56207,231
A_54131,231
A_387373,231
A_32422,231
A_113116,231
A_73655,231
A_37183,231
A_115135,231
A_58578,231
A_114705,231
A_106029,231
A_43518,231
A_8911,231
A_49685,230
A_115753,230
A_35559,230
A_31834,230
A_33696,230
A_117342,230
A_67103,230
A_106319,230
A_391654,230
A_15839,230
A_44269,230
A_41450,230
A_104535,230
A_36477,230
A_81083,230
A_55309,230
A_38157,230
A_115852,230
A_92336,230
A_34853,230
A_57002,230
A_48393,230
A_77124,229
A_32578,229
A_81106,229
A_46844,229
A_94038,229
A_117841,229
A_78084,229
A_45777,229
A_51995,229
A_35075,229
A_31367,229
A_382126,229
A_466427,229
A_42470,229
A_68323,229
