source,target,weight,layout_weight
A_413318,A_114180,2,1.0986122886681098
A_413318,A_105166,2,1.0986122886681098
A_413318,A_94230,3,1.3862943611198906
A_413318,A_413313,2,1.0986122886681098
A_413318,A_466423,2,1.0986122886681098
A_413318,A_479494,3,1.3862943611198906
A_413318,A_105164,3,1.3862943611198906
A_413318,A_466424,3,1.3862943611198906
A_413318,A_413330,2,1.0986122886681098
A_413318,A_479486,2,1.0986122886681098
A_413318,A_100290,2,1.0986122886681098
A_413318,A_479485,3,1.3862943611198906
A_413318,A_474540,2,1.0986122886681098
A_413318,A_413328,2,1.0986122886681098
A_413318,A_39757,2,1.0986122886681098
A_413318,A_479508,2,1.0986122886681098
A_413318,A_105730,3,1.3862943611198906
A_413318,A_479502,2,1.0986122886681098
A_413318,A_105729,2,1.0986122886681098
A_413318,A_115924,2,1.0986122886681098
A_413318,A_115923,3,1.3862943611198906
A_413318,A_479529,3,1.3862943611198906
A_413318,A_98738,2,1.0986122886681098
A_413318,A_65713,3,1.3862943611198906
A_413318,A_479530,2,1.0986122886681098
A_413318,A_479523,2,1.0986122886681098
A_413318,A_479505,2,1.0986122886681098
A_413318,A_33690,2,1.0986122886681098
A_413318,A_105723,2,1.0986122886681098
A_413318,A_466425,2,1.0986122886681098
A_413318,A_413319,2,1.0986122886681098
A_413318,A_105168,2,1.0986122886681098
A_413318,A_479958,2,1.0986122886681098
A_413318,A_479510,2,1.0986122886681098
A_413318,A_55699,2,1.0986122886681098
A_413318,A_102473,2,1.0986122886681098
A_413318,A_479496,2,1.0986122886681098
A_413318,A_113648,3,1.3862943611198906
A_413318,A_105732,3,1.3862943611198906
A_413318,A_42311,2,1.0986122886681098
A_413318,A_94235,3,1.3862943611198906
A_413318,A_105725,2,1.0986122886681098
A_413318,A_473623,2,1.0986122886681098
A_413318,A_105722,2,1.0986122886681098
A_413318,A_479495,3,1.3862943611198906
A_413318,A_105728,2,1.0986122886681098
A_413318,A_94222,2,1.0986122886681098
A_413318,A_105726,2,1.0986122886681098
A_413318,A_105724,2,1.0986122886681098
A_413318,A_479541,2,1.0986122886681098
A_413318,A_479484,3,1.3862943611198906
A_413318,A_479482,3,1.3862943611198906
A_413318,A_113407,2,1.0986122886681098
A_413318,A_479524,2,1.0986122886681098
A_413318,A_114343,2,1.0986122886681098
A_413318,A_474532,3,1.3862943611198906
A_413318,A_105727,2,1.0986122886681098
A_413318,A_115938,2,1.0986122886681098
A_413318,A_94234,3,1.3862943611198906
A_413318,A_92402,2,1.0986122886681098
A_413318,A_466427,3,1.3862943611198906
A_413318,A_98314,2,1.0986122886681098
A_413318,A_466431,3,1.3862943611198906
A_413318,A_94237,2,1.0986122886681098
A_413318,A_466430,3,1.3862943611198906
A_15448,A_72015,2,1.0986122886681098
A_15448,A_72684,2,1.0986122886681098
A_15448,A_71030,2,1.0986122886681098
A_15448,A_64900,2,1.0986122886681098
A_15448,A_57930,3,1.3862943611198906
A_15448,A_73878,2,1.0986122886681098
A_15448,A_86837,2,1.0986122886681098
A_15448,A_30720,2,1.0986122886681098
A_15448,A_61324,2,1.0986122886681098
A_15448,A_71542,2,1.0986122886681098
A_15448,A_62718,2,1.0986122886681098
A_397586,A_397589,2,1.0986122886681098
A_397586,A_397588,2,1.0986122886681098
A_397586,A_114698,2,1.0986122886681098
A_397586,A_377609,2,1.0986122886681098
A_442660,A_114558,2,1.0986122886681098
