id,x,y,size
A_397446,339.3423767089844,-30.28245735168457,15.162751609631803
A_397557,339.7371520996094,-30.01731300354004,15.162751609631803
A_114184,339.3631896972656,-29.143789291381836,16.933585812021946
A_115561,339.211669921875,-30.412307739257812,15.162751609631803
A_397427,339.2309875488281,-30.63774299621582,15.162751609631803
A_397536,339.6789855957031,-29.422698974609375,15.162751609631803
A_98387,339.1984558105469,-30.23546028137207,15.162751609631803
A_49381,339.22686767578125,-29.315221786499023,15.162751609631803
A_397425,338.41021728515625,-29.988813400268555,15.162751609631803
A_397440,339.6107482910156,-30.32484245300293,15.162751609631803
A_68142,338.9101257324219,-30.28505516052246,17.01387281837548
A_397552,339.0830078125,-29.67643165588379,16.75317120555529
A_115677,338.52142333984375,-30.619125366210938,16.53319436418915
A_397544,339.0620422363281,-29.49905776977539,15.162751609631803
A_68294,339.6786804199219,-29.840227127075195,16.57332168464411
A_53197,338.3533935546875,-30.343347549438477,17.135461574358402
A_98372,339.80352783203125,-30.2875919342041,15.162751609631803
A_115933,338.76220703125,-30.368865966796875,16.409154625406416
A_397538,339.1059265136719,-29.078290939331055,15.162751609631803
A_397423,339.2295227050781,-29.822044372558594,15.162751609631803
A_397451,339.45123291015625,-29.230798721313477,15.162751609631803
A_115918,339.1850280761719,-29.35027503967285,16.56001121253133
A_397444,339.5052185058594,-29.73370361328125,15.162751609631803
A_54934,339.1681213378906,-29.489660263061523,15.162751609631803
A_98385,339.2044982910156,-30.10843276977539,18.59894400978519
A_55770,339.9136962890625,-30.198556900024418,16.826771070622264
A_117964,338.66937255859375,-30.232301712036133,17.45162014898961
A_397558,339.4335021972656,-30.509410858154297,16.506111998180195
A_397530,339.1355285644531,-30.27748680114746,15.162751609631803
A_397541,339.1620788574219,-30.0690860748291,15.162751609631803
A_56502,338.6498107910156,-29.94517707824707,15.162751609631803
A_439085,338.7339782714844,-29.887792587280273,15.162751609631803
A_397545,339.27081298828125,-29.166748046875,15.162751609631803
A_397559,339.0992431640625,-29.96296501159668,15.162751609631803
A_397560,338.8086242675781,-29.79104995727539,15.162751609631803
A_397534,338.6123962402344,-29.798742294311523,15.162751609631803
A_397561,338.8605041503906,-29.23969459533691,16.56001121253133
A_397543,339.3806457519531,-30.076858520507812,16.6518523402693
A_98384,339.53466796875,-30.169981002807617,17.091870267382557
A_58776,339.87127685546875,-29.35365867614746,15.162751609631803
A_383839,338.6424255371094,-30.409090042114254,18.49571301815669
A_397547,339.4006652832031,-29.701988220214844,17.943895255176113
A_397553,338.9591064453125,-29.882444381713867,15.162751609631803
A_397424,338.8789367675781,-29.648284912109375,15.162751609631803
A_59893,338.4884338378906,-29.967506408691406,16.063974955361598
A_459199,339.8213806152344,-29.649375915527344,15.982802927008972
A_397437,339.0284423828125,-29.585445404052734,15.162751609631803
A_397550,339.92291259765625,-29.688852310180664,15.162751609631803
A_397442,339.30682373046875,-29.40688133239746,15.162751609631803
A_114533,338.537841796875,-30.78358459472656,17.01387281837548
A_76958,287.65826416015625,-112.0025863647461,18.340141249260327
A_397549,338.9437561035156,-30.52558135986328,17.44197182638767
A_61961,348.5135192871094,-52.0296745300293,19.100811570016518
A_68903,338.59271240234375,-31.017513275146484,18.734810596251616
A_397426,339.4617614746094,-29.37219619750977,15.162751609631803
A_62927,338.671142578125,-30.554845809936523,17.403034562172422
A_115555,339.92535400390625,-29.460155487060547,15.162751609631803
A_117947,339.3968505859375,-29.979000091552734,17.9277577651734
A_98388,338.89105224609375,-30.115123748779297,15.162751609631803
A_397531,339.79376220703125,-29.468660354614254,15.162751609631803
A_387116,339.53570556640625,-29.692581176757812,16.6518523402693
A_98413,338.79840087890625,-29.341964721679688,15.847699090225849
A_397532,339.26995849609375,-29.591981887817383,15.162751609631803
A_32132,301.37689208984375,-90.22872924804688,9.015897311967812
A_528746,300.7957458496094,-90.7044906616211,9.015897311967812
A_528748,301.65087890625,-89.8238754272461,9.015897311967812
A_45021,241.90052795410156,-232.4043884277344,17.113752757062244
A_46267,70.53975677490234,-327.8262023925781,14.368433018265101
A_441256,306.9656677246094,-93.18540954589844,13.91689093481695
A_472781,301.4908752441406,-90.50721740722656,9.015897311967812
A_52458,301.6501159667969,-90.16812133789062,9.015897311967812
A_58070,301.3138732910156,-90.26354217529295,9.015897311967812
A_114836,320.2920227050781,31.82880210876465,12.807823594443363
A_59287,293.3128662109375,-88.91360473632812,10.327671938205027
A_116049,301.00689697265625,-90.20648193359376,9.015897311967812
A_65658,323.65399169921875,-183.9879150390625,13.735679214364882
A_29260,19.864517211914062,100.2967300415039,16.031794623935625
A_29725,280.7159423828125,-162.01951599121094,15.20687025353266
A_32378,72.08541107177734,-102.19886779785156,9.40732056612225
A_35997,73.55329895019531,-112.6928939819336,17.55556447915953
A_37978,72.30646514892578,-102.23130798339844,9.40732056612225
A_42179,71.5384750366211,-101.92166900634766,9.40732056612225
A_42896,66.55754852294922,-98.43231964111328,12.700543310259548
A_6035,76.77571868896484,-108.56456756591795,13.659693866514058
A_45895,71.70532989501953,-102.33583068847656,9.40732056612225
A_15172,127.344482421875,2.9381096363067627,13.288936740187472
A_47061,151.94659423828125,-231.8980712890625,13.24445939238189
A_48059,17.64668083190918,-42.75305938720703,15.314150537716472
A_67991,71.9835205078125,-101.7296371459961,10.053913992138872
A_49291,71.38778686523438,-102.46073150634766,9.40732056612225
A_65892,71.5307388305664,-87.15451049804688,16.546635652276585
A_439167,327.64373779296875,31.734888076782227,11.210552907595485
A_439166,327.3009338378906,32.069969177246094,11.210552907595485
A_439168,327.06842041015625,31.46870994567871,11.210552907595485
A_37869,327.90997314453125,31.18819999694824,11.210552907595485
A_439161,327.0332336425781,30.902074813842773,11.210552907595485
A_439162,326.6740417480469,31.16765022277832,11.210552907595485
A_439169,327.24346923828125,30.87991714477539,13.24445939238189
A_439164,326.4570617675781,31.338878631591797,11.210552907595485
A_439165,327.05224609375,31.154796600341797,11.210552907595485
A_48498,326.7174072265625,31.42041015625,11.210552907595485
A_49042,326.6521301269531,31.711977005004883,11.210552907595485
A_49931,327.1680908203125,31.32592010498047,11.210552907595485
A_439160,327.3084716796875,31.10974502563477,11.210552907595485
A_68475,158.02349853515625,-158.61305236816406,19.923052686229596
A_55414,326.9351501464844,31.345129013061523,11.210552907595485
A_58589,327.6365661621094,31.178207397460938,11.210552907595485
A_59512,327.8158264160156,30.81985092163086,11.210552907595485
A_59740,326.5928649902344,30.807580947875977,12.287997969512814
A_59924,327.4337463378906,31.559837341308594,11.210552907595485
A_68778,138.37277221679688,-54.158748626708984,18.921115549294587
A_61570,327.3968505859375,31.871732711791992,13.10651604883326
A_62277,327.564453125,30.625507354736328,11.210552907595485
A_16340,327.6542663574219,31.347877502441406,11.210552907595485
A_63755,326.6273498535156,31.415477752685547,11.724931541104551
A_63797,327.0196228027344,31.54611015319824,11.210552907595485
A_439163,326.81396484375,30.8753604888916,11.210552907595485
A_64691,327.0477294921875,31.88288688659668,11.210552907595485
A_65227,327.4438171386719,31.280181884765625,11.210552907595485
A_14109,22.040531158447266,-57.7342414855957,12.588883046562463
A_33060,142.1233367919922,40.46852493286133,13.951735948988073
A_34944,34.19063186645508,-94.66613006591795,8.298253225748663
A_36865,33.922119140625,-94.92034149169922,8.298253225748663
A_67250,6.291577339172363,-70.23868560791016,16.57332168464411
A_52173,79.16539764404297,-109.83712768554688,14.83222801288033
A_8875,96.52437591552734,-116.03484344482422,17.091870267382557
A_54513,140.6917266845703,81.0954360961914,14.215583389206849
A_56464,29.29932975769043,-140.81936645507812,16.380809329038012
A_68726,119.80261993408205,110.47401428222656,15.184899881425245
A_21139,129.39981079101562,83.8763427734375,6.402290084510886
A_9717,128.8968048095703,83.12369537353516,12.807823594443363
A_68184,-54.092620849609375,126.1089324951172,17.293007799044382
A_63385,129.2470245361328,84.2494888305664,6.402290084510886
A_65201,146.53831481933594,-161.98907470703125,16.664724348125418
A_29516,59.5640869140625,-164.55401611328125,15.45760720461635
A_50531,56.07604217529297,86.24652862548828,8.796956764086914
A_34695,59.87244415283203,100.72233581542967,13.845840274614421
A_38285,56.39837646484375,86.17455291748047,8.796956764086914
A_41630,59.947784423828125,94.4450454711914,11.645642029427451
A_46908,175.79135131835938,32.17613220214844,14.456204076649758
A_41731,47.75762939453125,59.49117660522461,13.581537217400912
A_57474,-17.76660919189453,-136.91441345214844,15.631642355602658
A_58077,56.17584991455078,86.71742248535156,8.796956764086914
A_59946,99.4279556274414,-41.86275863647461,12.223635079442802
A_60720,55.46668243408203,86.18559265136719,8.796956764086914
A_115587,180.3635101318359,-93.42726135253906,10.576506735789549
A_66963,101.38005828857422,-101.6316146850586,16.46497894302935
